X,Y,NAME,POP_EST
-6564721.37552294,1338705.10302016,Aruba,103065
5906144.7458734,3617895.32124849,Afghanistan,28400000
1645651.17677267,-1314681.89247458,Angola,12799293
-5869023.55945303,1949294.58032091,Anguilla,14436
1735713.62276974,4405391.7483671,Albania,3639453
1510506.26965344,6354290.33517134,Aland,27153
134054.103367185,4550861.37342109,Andorra,83888
5003198.82894009,2556702.27465197,United Arab Emirates,4798491
-5795790.15220001,-3785330.40824634,Argentina,40913584
3906491.80932771,4315525.74829511,Armenia,2967004
-15953476.2786139,-1524590.18067171,American Samoa,65628
1158678.40743077,-8138898.80888587,Antarctica,3802
11595472.2073602,-1329682.9424479,Ashmore and Cartier Is.,-99
5693622.44333884,-5229581.18282239,Fr. S. Antarctic Lands,140
-5759895.99885177,1848616.75310133,Antigua and Barb.,85632
12342618.2732232,-2752201.47845172,Australia,21262641
1177521.91671141,5074915.12452909,Austria,8210281
4133372.24569769,4315629.93549023,Azerbaijan,8238672
2820559.52364591,-359083.502261648,Burundi,8988091
378737.601611578,5392941.79418088,Belgium,10414336
219064.382475156,1031148.79857143,Benin,8791832
-164740.73268264,1312247.51492077,Burkina Faso,15746232
8315778.88093466,2550272.02412174,Bangladesh,156050883
2163166.99065904,4574365.24658723,Bulgaria,7204687
4635266.50757811,2786517.18105985,Bahrain,727785
-7048750.8832756,2590621.45885175,Bahamas,309156
1512293.11663692,4719320.72489499,Bosnia and Herz.,4613414
-7473028.35290263,1689313.2232658,Bajo Nuevo Bank (Petrel Is.),-99
-5851063.75795419,1915058.2688247,St-Barthélemy,7448
2238276.6672075,5689652.5227201,Belarus,9648533
-8268569.71672338,1840481.35227921,Belize,307899
-5827964.39529804,3454656.15881155,Bermuda,67837
-6035029.52896081,-1786847.42736531,Bolivia,9775246
-4989542.45789078,-1153031.88361321,Brazil,198739269
-5583662.62580513,1409733.55834438,Barbados,284589
10826354.7562899,483049.367791836,Brunei,388190
8261549.64743594,2933079.6268526,Bhutan,691141
2200019.10589603,-2372743.42414638,Botswana,1990876
1929155.51898918,702282.23660543,Central African Rep.,4511488
-7550532.79942111,6401315.00588389,Canada,33487208
688002.210724311,4992605.78200246,Switzerland,7604467
-6281459.01948352,-4041897.02077804,Chile,16601707
9187344.71009252,3912958.11978808,China,1338612968
-524635.047371561,815828.033754439,Côte d'Ivoire,20617068
-10268823.0503398,1101324.96421858,Clipperton I.,-99
1201248.37416406,608884.138906324,Cameroon,18879301
2960792.00928862,3754362.37999545,Cyprus U.N. Buffer Zone,10000
2232756.25896349,-308000.391616011,Dem. Rep. Congo,68692542
1437710.73511698,-89719.834394094,Congo,4012809
-14739692.2805,-2119255.5508647,Cook Is.,11870
-6898463.79400739,418119.882382799,Colombia,45644023
4100634.876074,-1271035.579524,Comoros,752438
-2238724.97681363,1704408.68240673,Cape Verde,429474
-7917932.29345665,1066666.35120386,Costa Rica,4253877
14301380.1720223,-2249090.27516054,Coral Sea Is.,4
-7313492.48599291,2312815.32347798,Cuba,11451652
-6472862.74182076,1304147.86175345,Curaçao,141766
-7512320.29409589,2077695.90457284,Cayman Is.,49035
2988956.76156331,3773271.07658467,N. Cyprus,265100
2939208.6311121,3734143.85004882,Cyprus,531640
1258049.46197857,5299093.95810337,Czech Rep.,10211904
844501.021166814,5441354.67444175,Germany,82329758
3996622.53094248,1256697.84011832,Djibouti,516055
-5735351.64856894,1650960.34351238,Dominica,72660
786478.015759511,5935568.44294368,Denmark,5500510
-6553981.07588797,2021021.36888132,Dominican Rep.,9650054
241967.658103701,3010873.16613828,Algeria,34178188
-7441141.21822105,-152539.285824244,Ecuador,14573101
2735402.89339685,2833645.61595357,Egypt,83082869
3632193.08907686,1642518.31248146,Eritrea,5647168
3009499.35497956,3745243.54071998,Dhekelia,7850
-317665.979987575,4309080.03611356,Spain,40525002
1950655.05652076,6205250.81682003,Estonia,1299371
3728101.49347287,922243.915782182,Ethiopia,85237338
1895537.82770092,6768868.82141348,Finland,5250275
15228044.393934,-1866070.25871565,Fiji,944720
-4807557.68169865,-5505868.64287768,Falkland Is.,3140
227387.118658462,4999604.90545287,France,64057792
-508074.901477416,6537650.33357425,Faeroe Is.,48856
14632521.8686862,745165.963476352,Micronesia,107434
1113814.20707985,-63278.7400181813,Gabon,1514993
-229357.648690174,5752100.7073344,United Kingdom,62262000
3744676.02121018,4512266.80504824,Georgia,4615807
-208234.518121701,5273278.66925283,Guernsey,68633
-114579.796288473,850693.27092067,Ghana,23832495
-473966.961578744,3866025.40197621,Gibraltar,28034
-1028727.91518756,1116004.858017,Guinea,10057975
-1443017.4237352,1438469.11561544,Gambia,1782893
-1405863.28680878,1286297.9586428,Guinea-Bissau,1533964
976030.068472249,182562.82107659,Eq. Guinea,650702
2009848.14838152,4183467.17558988,Greece,10737428
-5786640.40361827,1299821.8630635,Grenada,90739
-2639781.09701458,7685317.38691871,Greenland,57600
-8443294.56783658,1678721.363343,Guatemala,13276517
13567708.2141178,1437834.18515466,Guam,178430
-5565003.37181409,512671.140147168,Guyana,772298
10546679.5090976,2394008.04470938,Hong Kong,7061200
5889589.90386776,-5644549.41270271,Heard I. and McDonald Is.,-99
-8104205.30625578,1585134.63766192,Honduras,7792854
1387904.78436045,4812102.99983965,Croatia,4489409
-6757504.80069719,2025513.58378734,Haiti,9035536
1620690.95339418,5030712.1882307,Hungary,9905596
11075802.5544882,-237750.083892772,Indonesia,240271522
-359943.806632966,5760415.36291355,Isle of Man,76512
7350261.99156817,2447831.79259816,India,1166079217
9832743.31892719,-1143547.08561619,Indian Ocean Ter.,2069
6813066.68404768,-764101.96471514,Br. Indian Ocean Ter.,4000
-652158.428915252,5653659.31264468,Ireland,4203200
4879672.78776053,3482455.05839361,Iran,66429284
3925995.44022919,3532570.8373138,Iraq,31129225
-1334766.15239931,6816303.15783131,Iceland,306694
3158892.63474988,3362354.76614271,Israel,7233701
1035427.23945872,4576217.33131964,Italy,58126212
-7197095.6533403,1941758.13925625,Jamaica,2825928
-175382.446678264,5245842.3811294,Jersey,91626
3321365.10433451,3341229.14767474,Jordan,6342948
12155397.9713729,4020959.58080041,Japan,127078679
5335093.47660479,4906882.37751329,Baikonur,70000
6862913.73705908,3785713.71492641,Siachen Glacier,6000
5587057.4346794,5135077.08929431,Kazakhstan,15399437
3573269.35132655,58905.4917407391,Kenya,39002772
6440708.22744688,4438761.34305146,Kyrgyzstan,5431747
9839456.16657382,1359948.48053163,Cambodia,14494293
-4867775.80659483,65796.9187601558,Kiribati,112850
-5844548.17110221,1847190.14958652,St. Kitts and Nevis,40131
11318939.8898926,3892600.23738432,Korea,48508972
1792537.31498026,4554127.33944941,Kosovo,1804838
4325603.65665398,3138154.10627927,Kuwait,2691158
9650731.60528738,1978877.79814955,Lao PDR,6834942
3209330.84338882,3626925.4393255,Lebanon,4017095
-878612.23143231,690080.055450693,Liberia,3441790
1647494.42331429,2891176.92653052,Libya,6310434
-5710830.70307782,1486912.78385214,Saint Lucia,160267
797313.195380999,5028092.56613287,Liechtenstein,34761
7602807.3180469,814539.050922858,Sri Lanka,21324791
2563650.39972314,-3163735.05352297,Lesotho,2130819
1879330.81702061,5871346.92978065,Lithuania,3555179
498674.722036477,5302668.39033059,Luxembourg,491775
1934060.86468061,6024390.79151624,Latvia,2231503
10497307.6380271,2369750.82504123,Macao,559846
-5870126.90418366,1933458.01690385,St-Martin,36661
-761919.324972975,3191679.01670397,Morocco,34859364
631153.137158226,4674703.96706707,Monaco,32965
2377606.23781837,5034045.5192318,Moldova,4320748
4338710.60479931,-2072010.75690272,Madagascar,20653556
6919314.3135997,409390.613278819,Maldives,396334
-9446168.25987188,2561344.1496767,Mexico,111211789
16029591.4995,760907.726639843,Marshall Is.,64522
1872219.31023081,4452633.22193785,Macedonia,2066718
-329862.723396704,1855010.96087627,Mali,12666987
1277970.36592168,3843328.06183566,Malta,405165
8935777.35950825,2263886.23908161,Myanmar,48137741
1650123.4144878,4576153.64241581,Montenegro,672180
8629095.29509702,4995413.59931444,Mongolia,3041142
13593790.8182303,1738071.4678142,N. Mariana Is.,88662
3312748.46753047,-1847079.74477892,Mozambique,21669278
-959397.701834164,2166434.41362418,Mauritania,3129486
-5801753.72664954,1790125.40727532,Montserrat,5097
5366473.50627192,-2158877.67459008,Mauritius,1284264
3214428.2614972,-1413602.23940215,Malawi,14268711
10355096.7168993,405604.283114098,Malaysia,25715819
1591189.67213873,-2366699.26225042,Namibia,2108665
15341895.9129527,-2278498.7497239,New Caledonia,227436
874729.016979343,1862958.00126235,Niger,15306252
15278546.2897996,-3105579.01864929,Norfolk Island,2141
761169.955547643,1026239.54318687,Nigeria,149229090
-7974630.27525473,1373833.981289,Nicaragua,5891199
-15788496.2118089,-2037335.88132484,Niue,1398
421318.01081533,5540394.53803805,Netherlands,16715999
1060976.00245956,7166957.46961854,Norway,4676305
7651202.9783526,3021463.63208976,Nepal,28563377
15771017.6465539,-55698.7321924731,Nauru,14019
14786104.7619016,-4477038.08733356,New Zealand,4213418
5199772.02797343,2203385.01643711,Oman,3418085
6290133.46040517,3203067.60807854,Pakistan,176242949
-7543415.60391067,910650.885184938,Panama,3360474
-11825533.7764948,-2610948.14751473,Pitcairn Is.,48
-6999399.54844678,-979081.950786792,Peru,29546963
10802934.2012425,1127809.0390172,Spratly Is.,100
11536704.3763223,1258073.12859276,Philippines,97976603
12659852.2295114,769803.053149667,Palau,20796
13691283.9342142,-691993.222999575,Papua New Guinea,6057263
1565657.95809363,5546029.4842019,Poland,38482919
-6186329.79714554,1949093.93548088,Puerto Rico,3971020
11065379.3256693,4300965.28418575,Dem. Rep. Korea,22665345
-749556.115355053,4240968.46518142,Portugal,10707924
-5387954.38089523,-2484148.63627609,Paraguay,6995655
3171863.13733854,3412647.48671386,Palestine,4119083
-13563488.9529293,-1624470.5259101,Fr. Polynesia,287032
4702103.43455031,2707313.90289747,Qatar,833285
2103601.68523218,4893860.22273,Romania,22215421
7156796.88214831,6529018.7320538,Russia,140041247
2825925.08886799,-213128.588452076,Rwanda,10473282
-1124716.83267671,2591664.8612635,W. Sahara,-99
4101753.18575605,2579870.14822283,Saudi Arabia,28686633
11011453.5551375,1620548.66457182,Scarborough Reef,-99
2796381.84923829,1709835.99291,Sudan,25946220
2855177.02092736,778989.726394862,S. Sudan,10625176
-1354669.18410301,1536659.54608694,Senegal,13711597
-7346179.87874841,1696741.77396474,Serranilla Bank,-99
9806750.2184184,145339.24442186,Singapore,4657542
-2838261.53970766,-5805965.72574174,S. Geo. and S. Sandw. Is.,30
-932165.735077439,-2664308.27768651,Saint Helena,7637
15025615.5497845,-952899.65452501,Solomon Is.,595613
-1110461.76939083,915841.144918401,Sierra Leone,6440053
-8325866.5501775,1469070.51307653,El Salvador,7185218
1060138.82430473,4695011.58673337,San Marino,30324
4350870.46068173,1040752.88949906,Somaliland,3500000
4312643.24892526,507898.35918426,Somalia,9832017
-4711673.32861325,5006359.11200587,St. Pierre and Miquelon,7051
1768484.46790961,4724451.88930608,Serbia,7379339
635484.345795536,47514.4659297425,São Tomé and Principe,212679
-5277009.80355695,441845.343808649,Suriname,481267
1611516.75414508,5191974.67218433,Slovakia,5463046
1245363.33017675,4921259.11992753,Slovenia,2005692
1230328.79074168,6605264.36955667,Sweden,9059651
2883195.15826285,-2841033.04339724,Swaziland,1123913
-5871884.93592663,1929501.74367272,Sint Maarten,37429
4907967.54588764,-694118.375380444,Seychelles,87476
3429024.31402565,3745807.18311132,Syria,20178485
-6648940.48224414,2329361.09898247,Turks and Caicos Is.,22942
1743217.04860731,1639904.6756941,Chad,10329208
90597.0356353808,911959.029877096,Togo,6019877
9445567.18384576,1616514.89603531,Thailand,65905410
6228014.90200377,4127208.25648022,Tajikistan,7349145
5192605.59796029,4190434.0930289,Turkmenistan,4884887
11846229.4976033,-943722.703149369,Timor-Leste,1131612
-16225111.0825055,-2146155.31133622,Tonga,120898
-5758570.49210139,1119660.49058948,Trinidad and Tobago,1310000
853962.922396742,3648318.40626811,Tunisia,10486339
3076299.3331177,4184532.6105141,Turkey,76805524
16816319.668075,-829849.780476173,Tuvalu,12373
11147574.613747,2540355.84267511,Taiwan,22974347
3282308.6735629,-671134.943648619,Tanzania,41048532
3057599.70350885,136437.649446022,Uganda,32369558
2591313.49416339,5222508.46715129,Ukraine,45700395
-9680505.1556568,1422819.33251003,U.S. Minor Outlying Is.,-99
-5031910.00507789,-3506751.00767222,Uruguay,3494382
-8721771.57393723,4212769.306604,United States,313973000
-6974831.48460921,2131474.6673948,USNB Guantanamo Bay,7000
5446817.84008645,4469395.9269924,Uzbekistan,27606007
1073436.21653608,4484707.41406331,Vatican,832
-5737373.80404529,1413494.22342181,St. Vin. and Gren.,104574
-6235472.53710922,762326.585444795,Venezuela,26814843
-6000624.11322785,1979688.73976114,British Virgin Is.,24491
-6033312.14205223,1923075.61492845,U.S. Virgin Is.,109825
9918771.1742009,1779927.71704208,Vietnam,86967524
15658383.2139671,-1732767.06574622,Vanuatu,218519
-16587714.7663853,-1469311.50805283,Wallis and Futuna Is.,15289
2937568.80021911,3703521.98053418,Akrotiri,7850
-16128546.6855506,-1471075.57131642,Samoa,219998
4445529.99891073,1701122.94938444,Yemen,23822783
2282378.64025096,-3101953.51433292,South Africa,49052489
2602887.83520035,-1439579.33620111,Zambia,11862740
2774798.15293421,-2032375.58832886,Zimbabwe,12619600
